metric,mean,std,ci95
rmse,0.05878063215846866,0.003500524724456089,0.003961216628260541
mae,0.04872661872937733,0.0034744783068248906,0.003931742332048177
r2,0.38072544388295765,0.07233724261591926,0.08185729593360307
