metric,mean,std,ci95
rmse,0.06882477730573289,0.02039550140392255,0.02307968252259167
mae,0.055729371825838446,0.017563890887949334,0.01987541357906254
r2,0.08180254809695087,0.30866771932237397,0.3492904060482041
