station,split,rmse,mae,r2
Gevenich,val,0.05408397298828243,0.045141477998134755,0.4532156258478154
Gevenich,test,0.09078274323996031,0.07503621014501663,-0.21086114461401229
Merzenhausen,val,0.09237700021207694,0.07916739930861853,-0.1859272666331977
Merzenhausen,test,0.06521887215869454,0.05145412695792346,0.051961941502877806
Selhausen,val,0.06583186197089524,0.0516101497801571,0.07510863304259541
Selhausen,test,0.050472716518543785,0.04069777837457524,0.4043068474019871
