Model,RMSE,MAE,R2
XGBoost Only,0.012047133769889187,0.009165955713370788,0.9540873779862697
LSTM Only,0.017762818907721547,0.013993954900798886,0.9001867018212633
LSTM + XGBoost,0.011188059659226883,0.00866033530903154,0.9604019155848978
LSTM + XGBoost + KNN (Full Stack),0.011242519158128392,0.008693215635719842,0.9600154785406675
