Model,RMSE,MAE,R2
LSTM,0.017762818907721547,0.013993954900798886,0.9001867018212633
XGBoost,0.012047133769889187,0.009165955713370788,0.9540873779862697
KNN,0.018336905466179877,0.013808708863336475,0.8936305969096344
Stacked Ensemble,0.011242519158128392,0.008693215635719842,0.9600154785406675
