metric,mean,std,ci95
rmse,0.02879881369210525,0.00010940133292682411,0.00012379926246941132
mae,0.018118711024167986,0.00019845835891961407,0.00022457677441253427
r2,0.8578034796700095,0.0010799931392814664,0.0012221272861867231
