metric,mean,std,ci95
rmse,0.027710058787522446,3.2819743381920506e-05,3.7139035845521035e-05
mae,0.019000600924341544,3.130475774991183e-05,3.542466821510214e-05
r2,0.881439805695997,0.00028079445595956005,0.0003177488392810048
