metric,mean,std,ci95
rmse,0.026863191794507815,0.0007795479188915621,0.0008821415136037816
mae,0.018570610778828028,0.0006463372759354332,0.0007313994804872792
r2,0.8885134244264571,0.006414463557495927,0.007258648832789543
