split,runs,RMSE_mean,RMSE_std,RMSE_ci95,MAE_mean,MAE_std,MAE_ci95,R2_mean,R2_std,R2_ci95
test,1,0.1563152256955962,0.0,0.0,0.13487207029944065,0.0,0.0,-3.5588467278197182,0.0,0.0
val,1,0.1410353009860283,0.0,0.0,0.12098718096718122,0.0,0.0,-2.6851081446264464,0.0,0.0
