metric,mean,std,ci95
rmse,0.02878771634097522,0.00018771960797715236,0.00016454349122543756
mae,0.01755550048940287,0.00019266067462047926,0.00016887452709660514
r2,0.8579095803750085,0.0018499903433925268,0.0016215880328931964
