time,soil_moisture,lag_1,lag_2,lag_3,lag_7,lag_14,lag_30,rolling_mean_7,rolling_std_7,rolling_mean_14,target_3day
2003-03-05,0.3686129,0.37229538,0.37901744,0.3734404,0.36198696,0.36556882,0.3913257,0.36761748790740967,0.007800750824226437,0.3657912824835096,0.37016827
2003-03-06,0.3732481,0.3686129,0.37229538,0.37901744,0.3613634,0.3655018,0.38689107,0.36931530066898893,0.007500251333815663,0.36634459027222227,0.36701614
2003-03-07,0.37641948,0.3732481,0.3686129,0.37229538,0.35992023,0.3653732,0.3862025,0.37167233654430937,0.006593373388097573,0.3671336110149111,0.36514446
2003-03-08,0.37016827,0.37641948,0.3732481,0.3686129,0.35867265,0.3647841,0.3865321,0.3733145679746355,0.0035408874259324325,0.3675181950841631,0.3619225
2003-03-09,0.36701614,0.37016827,0.37641948,0.3732481,0.3734404,0.36406055,0.38143468,0.3723968139716557,0.004261959555513099,0.3677293083497456,0.36269432
2003-03-10,0.36514446,0.36701614,0.37016827,0.37641948,0.37901744,0.36326924,0.3771,0.37041495953287396,0.003878476132810876,0.3678632527589798,0.36224538
2003-03-11,0.3619225,0.36514446,0.36701614,0.37016827,0.37229538,0.3627797,0.37524828,0.3689331199441637,0.004889961981622938,0.3678020238876343,0.3563818
2003-03-12,0.36269432,0.3619225,0.36514446,0.36701614,0.3686129,0.36198696,0.3738246,0.3680876110281263,0.00543577973877996,0.36785254946776796,0.35294527
2003-03-13,0.36224538,0.36269432,0.3619225,0.36514446,0.3732481,0.3613634,0.3716159,0.366515793970653,0.005283511300440226,0.36791554731982096,0.35125837
2003-03-14,0.3563818,0.36224538,0.36269432,0.3619225,0.37641948,0.35992023,0.36980122,0.36365326813289095,0.004373199441962783,0.36766280233860016,0.3484115
2003-03-15,0.35294527,0.3563818,0.36224538,0.36269432,0.37016827,0.35867265,0.36858448,0.36119283948625835,0.004908993577904736,0.36725370373044697,0.34632105
2003-03-16,0.35125837,0.35294527,0.3563818,0.36224538,0.36701614,0.3734404,0.3685445,0.35894172957965303,0.005383613792661511,0.3656692717756544,0.344059
2003-03-17,0.3484115,0.35125837,0.35294527,0.3563818,0.36514446,0.37901744,0.36843008,0.35655130658830914,0.005863911859209907,0.36348313306059155,0.34098947
2003-03-18,0.34632105,0.3484115,0.35125837,0.35294527,0.3619225,0.37229538,0.3671515,0.3543225271361215,0.006420657386031875,0.3616278235401426,0.33839256
2003-03-19,0.344059,0.34632105,0.3484115,0.35125837,0.36269432,0.3686129,0.36653918,0.35166033676692415,0.006231525527005907,0.35987397389752523,0.33648095
2003-03-20,0.34098947,0.344059,0.34632105,0.3484115,0.36224538,0.3732481,0.36616167,0.3486237781388419,0.005327145462634918,0.35756978605474743,0.33525813
2003-03-21,0.33839256,0.34098947,0.344059,0.34632105,0.3563818,0.37641948,0.36556882,0.3460538855620793,0.0052998645989408505,0.35485357684748514,0.33377004
2003-03-22,0.33648095,0.33839256,0.34098947,0.344059,0.35294527,0.37016827,0.3655018,0.3437018394470215,0.005384492740099257,0.3524473394666399,0.3315655
2003-03-23,0.33525813,0.33648095,0.33839256,0.34098947,0.35125837,0.36701614,0.3653732,0.3414160907268524,0.005026251438490415,0.35017891015325275,0.32981497
2003-03-24,0.33377004,0.33525813,0.33648095,0.33839256,0.3484115,0.36514446,0.3647841,0.33932445304734365,0.004663349454928913,0.3479378798178264,0.32963035
2003-03-25,0.3315655,0.33377004,0.33525813,0.33648095,0.34632105,0.3619225,0.36406055,0.3372165177549635,0.004293915768136142,0.3457695224455425,0.3262088
2003-03-26,0.32981497,0.3315655,0.33377004,0.33525813,0.344059,0.36269432,0.36326924,0.3351816577570779,0.00386447836410822,0.34342099726200104,0.32281047
2003-03-27,0.32963035,0.32981497,0.3315655,0.33377004,0.34098947,0.36224538,0.3627797,0.3335589255605425,0.003372899919223857,0.3410913518496922,0.32578763
2003-03-28,0.3262088,0.32963035,0.32981497,0.3315655,0.33839256,0.3563818,0.36198696,0.3318183890410832,0.003598907605601013,0.33893613730158123,0.3280602
2003-03-29,0.32281047,0.3262088,0.32963035,0.32981497,0.33648095,0.35294527,0.3613634,0.32986546414239065,0.004289882694049316,0.3367836517947061,0.32546097
2003-03-30,0.32578763,0.32281047,0.3262088,0.32963035,0.33525813,0.35125837,0.35992023,0.3285125366279057,0.0037672617800740926,0.33496431367737906,0.3402111
2003-03-31,0.3280602,0.32578763,0.32281047,0.3262088,0.33377004,0.3484115,0.35867265,0.3276968470641545,0.002973757844030735,0.3335106500557491,0.3465013
2003-04-01,0.32546097,0.3280602,0.32578763,0.32281047,0.3315655,0.34632105,0.3734404,0.32682477150644573,0.002508933310006119,0.33202064463070463,0.33998704
2003-04-02,0.3402111,0.32546097,0.3280602,0.32578763,0.32981497,0.344059,0.37901744,0.3283099319253649,0.005665405139691542,0.3317457948412214,0.33627477
2003-04-03,0.3465013,0.3402111,0.32546097,0.3280602,0.32963035,0.34098947,0.37229538,0.33072006702423096,0.008954530330968807,0.33213949629238676,0.3321794
2003-04-04,0.33998704,0.3465013,0.3402111,0.32546097,0.3262088,0.33839256,0.3686129,0.33268838695117403,0.009305078792172674,0.33225338799612864,0.33099246
2003-04-05,0.33627477,0.33998704,0.3465013,0.3402111,0.32281047,0.33648095,0.3732481,0.3346118586403983,0.008255277970788318,0.33223866139139446,0.32856452
2003-04-06,0.3321794,0.33627477,0.33998704,0.3465013,0.32578763,0.33525813,0.37641948,0.3355249677385603,0.0074286745125436,0.332018752183233,0.32713112
2003-04-07,0.33099246,0.3321794,0.33627477,0.33998704,0.3280602,0.33377004,0.37016827,0.3359438606670925,0.007008375268159055,0.3318203538656235,0.325308
2003-04-08,0.32856452,0.33099246,0.3321794,0.33627477,0.32546097,0.3315655,0.36701614,0.33638722555977957,0.006296712741970459,0.3316059985331127,0.32439023
