run,seed,split,RMSE,MAE,R2
1,42,val,0.0605946225662469,0.050800129771232605,0.3852572441101074
1,42,test,0.061683137192026054,0.05458052456378937,0.39160335063934326
2,52,val,0.058452883906888214,0.04909580945968628,0.4279458522796631
2,52,test,0.05498026073680711,0.04772248864173889,0.5166435241699219
3,62,val,0.0607147255145175,0.05001083388924599,0.3828178644180298
3,62,test,0.06328100746014116,0.054207272827625275,0.3596746325492859
