split,runs,RMSE_mean,RMSE_std,RMSE_ci95,MAE_mean,MAE_std,MAE_ci95,R2_mean,R2_std,R2_ci95
test,3,0.05998146846299144,0.004404242998378489,0.004983870126153077,0.052170095344384514,0.003856258970907045,0.00436376782363946,0.42264050245285034,0.08295954935192064,0.0938775675743556
val,3,0.05992074399588421,0.0012726217467088601,0.001440107075756307,0.04996892437338829,0.0008529327269643902,0.0009651842414465233,0.3986736536026001,0.025379792254126437,0.02871993858419749
