split,runs,RMSE_mean,RMSE_std,RMSE_ci95,MAE_mean,MAE_std,MAE_ci95,R2_mean,R2_std,R2_ci95
test,1,0.1487057828824521,0.0,0.0,0.1266758259257639,0.0,0.0,-3.8734473127084783,0.0,0.0
val,1,0.06662134035461949,0.0,0.0,0.05339648573162371,0.0,0.0,0.030974717360627995,0.0,0.0
