iter	Passed	Remaining
406	6579	1503
407	6593	1486
408	6610	1470
409	6630	1455
410	6647	1439
411	6663	1423
412	6680	1407
413	6696	1391
414	6711	1374
415	6727	1358
416	6744	1342
417	6762	1326
418	6777	1310
419	6791	1293
420	6808	1277
421	6826	1261
422	6842	1245
423	6861	1229
424	6877	1213
425	6894	1197
426	6913	1181
427	6928	1165
428	6946	1149
429	6962	1133
430	6980	1117
431	6995	1101
432	7011	1084
433	7027	1068
434	7043	1052
435	7063	1036
436	7080	1020
437	7098	1004
438	7112	988
439	7126	971
440	7142	955
441	7159	939
442	7174	923
443	7192	907
444	7207	890
445	7225	874
446	7244	859
447	7261	842
448	7276	826
449	7292	810
450	7305	793
451	7321	777
452	7339	761
453	7356	745
454	7387	730
455	7407	714
456	7422	698
457	7438	682
458	7453	665
459	7468	649
460	7485	633
461	7502	617
462	7517	600
463	7533	584
464	7548	568
465	7563	551
466	7576	535
467	7593	519
468	7611	503
469	7627	486
470	7643	470
471	7662	454
472	7680	438
473	7698	422
474	7713	405
475	7731	389
476	7748	373
477	7765	357
478	7782	341
479	7800	325
480	7816	308
481	7834	292
482	7851	276
483	7869	260
484	7885	243
485	7900	227
486	7914	211
487	7934	195
488	7949	178
489	7965	162
490	7982	146
491	7997	130
492	8011	113
493	8029	97
494	8045	81
495	8061	65
496	8078	48
497	8099	32
498	8120	16
499	8140	0
