iter	RMSE
0	0.08219685484
1	0.07890580485
2	0.07581842162
3	0.07289659112
4	0.07015376488
5	0.06753965399
6	0.06506705464
7	0.06272851123
8	0.06051038899
9	0.05845116893
10	0.05652106226
11	0.05471457852
12	0.05303191896
13	0.05144179325
14	0.04995200734
15	0.04857093501
16	0.04727918534
17	0.04603676974
18	0.04490285976
19	0.04381330977
20	0.04275743849
21	0.04184148126
22	0.04093105472
23	0.04009663213
24	0.03933694978
25	0.03864361026
26	0.03797790731
27	0.03738821193
28	0.03675573611
29	0.03625573884
30	0.0356965652
31	0.0352513462
32	0.03479607407
33	0.03437009889
34	0.03400153462
35	0.0336587402
36	0.03331429308
37	0.03295966357
38	0.03264274492
39	0.0323377508
40	0.0320913924
41	0.03185638523
42	0.03164101558
43	0.03142530941
44	0.0312076748
45	0.03101738202
46	0.03083116422
47	0.03064438336
48	0.0303879512
49	0.03023311919
50	0.03009428646
51	0.02994985782
52	0.02980956611
53	0.02966444656
54	0.02956294434
55	0.02940023028
56	0.02930415654
57	0.02918714284
58	0.02909170136
59	0.02899447528
60	0.02888030283
61	0.02871420614
62	0.02862573472
63	0.02855822269
64	0.02847695602
65	0.02839326806
66	0.02832120549
67	0.02825483381
68	0.02818791726
69	0.02803927669
70	0.02794361607
71	0.02788017625
72	0.02775582478
73	0.02766898441
74	0.02760182468
75	0.02750421602
76	0.02742621934
77	0.02738346208
78	0.02728960609
79	0.02720263402
80	0.02711919456
81	0.02699788466
82	0.02690155107
83	0.02684917253
84	0.0267971723
85	0.02674230583
86	0.02667663096
87	0.02660904377
88	0.02652611315
89	0.02645635487
90	0.02642526112
91	0.02636173334
92	0.0262884119
93	0.02624769221
94	0.02617069568
95	0.02614056141
96	0.02610070886
97	0.02605708619
98	0.02596479218
99	0.0259146939
100	0.02584517386
101	0.02577989356
102	0.02573119498
103	0.02564674421
104	0.02559012827
105	0.02554079308
106	0.02549308279
107	0.02539599756
108	0.02537140809
109	0.02532294361
110	0.02521198136
111	0.02516628074
112	0.02514447326
113	0.0251165511
114	0.02506688836
115	0.02497959378
116	0.02493092694
117	0.02488279629
118	0.02484043307
119	0.02480945638
120	0.02478817423
121	0.02476648226
122	0.02472081099
123	0.0246570757
124	0.0246141737
125	0.02455490945
126	0.02453331966
127	0.0244526068
128	0.02437288418
129	0.02431233362
130	0.02424515269
131	0.02419714413
132	0.02415254318
133	0.02409085413
134	0.02401556165
135	0.02393531053
136	0.02386804622
137	0.02380521954
138	0.02375727658
139	0.02369519699
140	0.02361397231
141	0.02354074913
142	0.02352060972
143	0.02349397555
144	0.02341564124
145	0.02338852038
146	0.02332870331
147	0.02328435577
148	0.0232468689
149	0.02320783422
150	0.02317861286
151	0.02314506417
152	0.02308791243
153	0.02304417871
154	0.0230138688
155	0.02297954764
156	0.02293142855
157	0.02289197814
158	0.022849365
159	0.02281183404
160	0.02277118462
161	0.02274471608
162	0.02272150748
163	0.02269917585
164	0.02266076807
165	0.02262624491
166	0.02259720704
167	0.02256091049
168	0.02251585185
169	0.02249121441
170	0.02242697972
171	0.02240633998
172	0.02235674608
173	0.02232186612
174	0.02225544046
175	0.02222349061
176	0.02216849244
177	0.02213065558
178	0.02211033451
179	0.02204752387
180	0.02199208137
181	0.02191480654
182	0.02186100662
183	0.0218230099
184	0.0217862672
185	0.0217640112
186	0.02171137623
187	0.02166151537
188	0.02163156364
189	0.02159227611
190	0.02157706056
191	0.02153490664
192	0.02148791765
193	0.02145673998
194	0.02141815095
195	0.02140351468
196	0.0213930763
197	0.02135819799
198	0.02130493931
199	0.02126840626
200	0.02124489487
201	0.02121732831
202	0.02118961584
203	0.02115132124
204	0.02112760942
205	0.02110723475
206	0.02106224193
207	0.02104697746
208	0.02102141386
209	0.02099436984
210	0.02095107267
211	0.02093262611
212	0.02090585357
213	0.02085267083
214	0.02080557551
215	0.02076206865
216	0.02073578897
217	0.02069978389
218	0.02066051751
219	0.02062896888
220	0.02060932257
221	0.02059443295
222	0.0205487031
223	0.02050406908
224	0.02046129145
225	0.02042313714
226	0.0203949209
227	0.02036877488
228	0.02032535529
229	0.0202945393
230	0.02026747207
231	0.02024085411
232	0.02023423343
233	0.02019488867
234	0.02015508573
235	0.02010424241
236	0.02007802755
237	0.02005546326
238	0.02001703398
239	0.01999582296
240	0.01995368666
241	0.0199246821
242	0.01991160426
243	0.01986273158
244	0.01984682177
245	0.01979832738
246	0.01975269416
247	0.0197085824
248	0.0196775162
249	0.01966282718
250	0.01964849492
251	0.01961264579
252	0.01957823957
253	0.01954475726
254	0.01952651163
255	0.0195073048
256	0.01947154937
257	0.0194492834
258	0.01940926617
259	0.01939081008
260	0.01935422144
261	0.01932491766
262	0.01930166693
