split,runs,RMSE_mean,RMSE_std,RMSE_ci95,MAE_mean,MAE_std,MAE_ci95,R2_mean,R2_std,R2_ci95
test,5,0.028870591455121403,0.00017576979676055517,0.0001540690198675861,0.018382947110290565,0.0001166583480816242,0.0001022555506097108,0.8566301247529168,0.0017462924743909417,0.0015306928430831067
val,5,0.02693213004319201,0.00020060759059761123,0.0001758403060764529,0.01822281967391796,0.0001271830535598114,0.00011148086171152807,0.8803470590191586,0.001787712099028802,0.0015669987448298768
