metric,mean,std,ci95
rmse,0.02868287769813809,5.0543749826060726e-05,4.430355009593546e-05
mae,0.017435521876097253,0.00011635364202378501,0.00010198846397398491
r2,0.8589470688779919,0.0004969175471849228,0.0004355674345694351
