neighbor_count,split,rmse,mae,r2
5,val,0.040994656346770644,0.028969171630176416,0.7227662495680258
5,test,0.04128022673473227,0.028773853522124554,0.7078406818333609
9,val,0.039150984641862084,0.0273924919622169,0.7471418373634617
9,test,0.03896711704068466,0.027462888972596387,0.7396652477717158
13,val,0.038252528241014015,0.026515839240923444,0.7586141052123238
13,test,0.03770549835727661,0.026643740713331875,0.7562498089211245
