split,runs,RMSE_mean,RMSE_std,RMSE_ci95,MAE_mean,MAE_std,MAE_ci95,R2_mean,R2_std,R2_ci95
test,1,0.03964615500210733,0.0,0.0,0.027749925165350683,0.0,0.0,0.7296441219757106,0.0,0.0
val,1,0.04121343676197108,0.0,0.0,0.028761797159128584,0.0,0.0,0.7198179173342525,0.0,0.0
