seed,split,rmse,mae,r2
42,val,0.02799243846502222,0.01806306151435132,0.8707373472691072
42,test,0.02863612293009553,0.01787044910366412,0.859406892396464
52,val,0.027279624932360233,0.018016150801965107,0.8772367464875852
52,test,0.028653680257976846,0.017859512201514455,0.8592344391620236
62,val,0.02740622030159582,0.017865626834953716,0.8760946985108283
62,test,0.02863177559265854,0.017788192555497285,0.8594495768958326
