metric,mean,std,ci95
rmse,0.029174231832160686,0.00023243798578305243,0.0002630283419770099
mae,0.01874109584667878,0.0003286947700375613,0.00037195314736632
r2,0.8540672280676219,0.0023295755632920623,0.0026361629139859226
