metric,mean,std,ci95
rmse,0.03886417773489661,0.0020901383810327683,0.0023652142355883614
mae,0.027133850893740694,0.0012752112271774392,0.001443037348757674
r2,0.74053954417057,0.0280566127392952,0.03174904611845909
