neighbor_count,split,rmse,mae,r2
5,val,0.03995912319871889,0.028040676200850025,0.7365953119329091
5,test,0.041119977627296335,0.02848959991515686,0.7101045936291508
9,val,0.03813217135161828,0.02642163388795432,0.7601306978026825
9,test,0.038479381809647585,0.026953592818770244,0.7461414665420021
13,val,0.037175323706631985,0.025493097675086007,0.7720177068757476
13,test,0.0369931737677459,0.025958359947294982,0.7653725723405572
