metric,mean,std,ci95
rmse,0.029152479895014027,0.00015436107346146447,0.00017467599833813718
mae,0.01814487849687361,0.00012184489733724481,0.0001378804811829996
r2,0.8542882008390201,0.001542185933733458,0.0017451476694036738
